prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
1.16,36.0,41.0,85,99,32.5,2.27,98,12.31,0.0,0,0,0,38.5,11.5,0.0,43.3,0.0,7.5,39.0,122419,110110.0,108006.0,117898.0,125963.0,126959.0,131611.0,129724.0,117964.0,123832.0,118104.9,124474.2
0.0,36.0,55.0,71,93,33.5,20.01,37,12.35,12.0,0,0,1,45.5,4.5,0.0,41.0,0.0,9.0,38.5,115575,122419.0,110110.0,108006.0,123622.0,125748.0,128988.0,130168.0,129783.0,117964.0,117598.6,124357.5
0.01,40.0,45.0,77,83,34.3,5.83,89,12.4,2.0,0,0,2,42.5,7.5,0.0,42.2,0.0,7.8,45.5,116769,115575.0,122419.0,110110.0,120106.0,124617.0,128251.0,131364.0,131720.0,129783.0,116449.0,124236.2
0.0,38.0,60.0,74,92,35.6,21.57,25,12.44,12.0,0,0,3,49.0,1.0,0.0,45.7,0.0,4.3,42.5,112983,116769.0,115575.0,122419.0,121029.0,128016.0,129517.0,133929.0,132901.0,131720.0,115972.3,123804.4
0.0,50.0,69.0,61,90,38.6,20.31,37,12.49,11.4,0,0,4,59.5,0.0,0.0,50.3,0.0,2.8,49.0,109059,112983.0,116769.0,115575.0,117898.0,126067.0,132096.0,138016.0,131634.0,132901.0,114822.9,123231.6
0.45,44.0,54.0,77,96,38.4,3.95,86,12.53,0.46,1,0,5,49.0,1.0,0.0,52.5,0.0,0.7,59.5,106277,109059.0,112983.0,116769.0,108006.0,114037.0,122125.0,129490.0,129664.0,131634.0,113560.1,122488.1
0.05,44.0,47.0,93,96,45.1,4.82,100,12.58,0.0,1,0,6,45.5,4.5,0.0,51.3,0.0,1.8,49.0,106911,106277.0,109059.0,112983.0,110110.0,112339.0,113235.0,126062.0,115078.0,129664.0,113313.1,121566.3
0.04,41.0,52.0,88,97,42.6,13.5,78,12.62,8.96,0,0,0,46.5,3.5,0.0,47.0,0.0,3.0,45.5,111212,106911.0,106277.0,109059.0,122419.0,125963.0,126959.0,131611.0,115241.0,115078.0,112856.1,120529.5
0.06,41.0,49.0,81,95,36.9,7.55,99,12.67,1.98,0,0,1,45.0,5.0,0.0,45.7,0.0,4.3,46.5,111690,111212.0,106911.0,106277.0,115575.0,123622.0,125748.0,128988.0,131674.0,115241.0,111255.1,119920.2
0.0,38.0,56.0,60,82,30.2,19.39,80,12.71,11.26,0,0,2,47.0,3.0,0.0,46.2,0.0,3.8,45.0,109617,111690.0,111212.0,106911.0,116769.0,120106.0,124617.0,128251.0,131047.0,131674.0,110700.1,119441.2
0.0,38.0,58.0,50,68,28.5,18.82,46,12.76,9.93,0,0,3,48.0,2.0,0.0,46.7,0.0,3.3,47.0,109109,109617.0,111690.0,111212.0,112983.0,121029.0,128016.0,129517.0,128648.0,131047.0,109678.4,118708.0
0.13,45.0,52.0,77,88,39.7,5.35,99,12.8,0.07,0,0,4,48.5,1.5,0.0,47.8,0.0,2.2,48.0,109396,109109.0,109617.0,111690.0,109059.0,117898.0,126067.0,132096.0,126966.0,128648.0,109125.0,118045.4
0.02,46.0,62.0,75,87,41.5,8.91,96,12.85,2.59,1,0,5,54.0,0.0,0.0,50.2,0.0,1.2,48.5,103204,109396.0,109109.0,109617.0,106277.0,108006.0,114037.0,122125.0,130603.0,126966.0,109173.1,117416.9
0.0,47.0,65.0,83,97,45.0,14.34,68,12.89,10.05,1,0,6,56.0,0.0,0.0,52.8,0.0,0.5,54.0,101605,103204.0,109396.0,109109.0,106911.0,110110.0,112339.0,113235.0,117035.0,130603.0,108734.1,116539.8
0.07,49.0,66.0,62,95,38.1,23.46,38,12.93,12.0,0,0,0,57.5,0.0,0.0,55.8,0.0,0.0,56.0,105411,101605.0,103204.0,109396.0,111212.0,122419.0,125963.0,126959.0,112880.0,117035.0,107976.1,115523.4
0.0,52.0,68.0,51,80,34.9,20.72,74,12.98,11.0,0,0,1,60.0,0.0,0.0,57.8,0.0,0.0,57.5,104373,105411.0,101605.0,103204.0,111690.0,115575.0,123622.0,125748.0,128595.0,112880.0,107147.4,114966.3
0.2,49.0,64.0,76,96,47.0,17.88,56,13.02,10.71,0,0,2,56.5,0.0,0.0,58.0,0.0,0.0,60.0,105413,104373.0,105411.0,101605.0,109617.0,116769.0,120106.0,124617.0,127521.0,128595.0,106102.1,114670.9
0.12,43.0,59.0,75,93,41.1,10.22,50,13.07,5.62,0,0,3,51.0,0.0,0.0,55.8,0.0,0.0,56.5,106910,105413.0,104373.0,105411.0,109109.0,112983.0,121029.0,128016.0,125957.0,127521.0,105501.6,113952.7
0.01,37.0,49.0,53,85,26.3,15.31,63,13.11,11.38,0,0,4,43.0,7.0,0.0,50.2,0.0,2.3,51.0,108499,106910.0,105413.0,104373.0,109396.0,109059.0,117898.0,126067.0,128312.0,125957.0,105187.4,113324.8
